1	abraham	add_place	right
991	abraham	norm	ⲁⲡⲟⲧⲁⲥⲥⲉ
992	abraham	norm	ⲉ
993	abraham	norm	ⲧⲙ
994	abraham	norm	ϥⲓ
995	abraham	norm	ϩⲁ
996	abraham	norm	ⲛⲉⲛ
997	abraham	norm	ⲉⲣⲏⲩ
998	abraham	norm	ϫⲉ
999	abraham	norm	ⲛⲛⲉ
1000	abraham	norm	ⲡ
1001	abraham	norm	ⲛⲟⲩⲧⲉ
1002	abraham	norm	ϭⲱⲛⲧ
1003	abraham	norm	ⲉⲣⲟ
1004	abraham	norm	ⲛ
1005	abraham	norm	ϫⲉ
1006	abraham	norm	ⲙⲡⲁ
1007	abraham	norm	ⲧⲛ
1008	abraham	norm	ⲱⲥⲕ
1009	abraham	norm	ⲅⲁⲣ
1010	abraham	norm	ⲉ
1011	abraham	norm	ⲛ
1012	abraham	norm	ϥⲓ
1013	abraham	norm	ϩⲁ
1014	abraham	norm	ⲛⲉⲛ
1015	abraham	norm	ⲉⲣⲏⲩ
1016	abraham	norm	ⲛ
1017	abraham	norm	ⲧ
1018	abraham	norm	ϩⲉ
1019	abraham	norm	ⲙ
1020	abraham	norm	ⲡ
1021	abraham	norm	ϫⲟⲉⲓⲥ
1022	abraham	norm	ⲁⲩⲱ
1023	abraham	norm	ⲡⲉϥ
1024	abraham	norm	ⲭⲣⲓⲥⲧⲟⲥ
1025	abraham	norm	ⲙⲛ
1026	abraham	norm	ⲛⲉϥ
1027	abraham	norm	ⲁⲅⲅⲉⲗⲟⲥ
1028	abraham	norm	ⲉⲧ
1029	abraham	norm	ⲟⲩⲁⲁⲃ
1030	abraham	norm	ⲉⲧ
1031	abraham	norm	ϥⲓ
1032	abraham	norm	ϩⲁⲣⲟ
1033	abraham	norm	ⲛ
1034	abraham	norm	ϫⲓⲛ
1035	abraham	norm	ⲧ
1036	abraham	norm	ⲁⲣⲭⲏ
1037	abraham	norm	ⲙ
1038	abraham	norm	ⲡ
1039	abraham	norm	ⲥⲱⲛⲧ
1040	abraham	norm	ϣⲁϩⲣⲁⲓ
1041	abraham	norm	ⲉ
1042	abraham	norm	ⲡ
1043	abraham	norm	ⲟⲟⲩ
1044	abraham	norm	ⲛ
1045	abraham	norm	ϩⲟⲟⲩ
1046	abraham	norm	ⲁⲩⲱ
1047	abraham	norm	ⲟⲛ
1048	abraham	norm	ϣⲁ
1049	abraham	norm	ⲉⲛⲉϩ
1050	abraham	norm	·
1051	abraham	norm	ⲁⲗⲗⲁ
1052	abraham	norm	ⲙⲁⲣⲛ
1053	abraham	norm	ⲣ
1054	abraham	norm	ϩⲙ
1055	abraham	norm	ϩⲁⲗ
1056	abraham	norm	ⲛⲛⲉ
1057	abraham	norm	ⲛ
1058	abraham	norm	ⲉⲣⲏⲩ
1059	abraham	norm	ⲛ
1060	abraham	norm	ⲧ
1061	abraham	norm	ϩⲉ
1062	abraham	norm	ⲛ
1063	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1064	abraham	norm	·
1065	abraham	norm	ⲡⲁⲓ
1066	abraham	norm	ⲛⲧ
1067	abraham	norm	ⲁ
1068	abraham	norm	ϥ
1069	abraham	norm	ϫⲓ
1070	abraham	norm	ⲛ
1071	abraham	norm	ⲟⲩ
1072	abraham	norm	ⲙⲟⲣⲫⲏ
1073	abraham	norm	ⲛ
1074	abraham	norm	ϩⲙϩⲁⲗ
1075	abraham	norm	ⲉⲧⲃⲏⲏ
1076	abraham	norm	ⲧⲛ
1077	abraham	norm	·
1078	abraham	norm	ⲁⲩⲱ
1079	abraham	norm	ⲛ
1080	abraham	norm	ⲧ
1081	abraham	norm	ϩⲉ
1082	abraham	norm	ⲙ
1083	abraham	norm	ⲡⲁⲩⲗⲟⲥ
1084	abraham	norm	ⲡ
1085	abraham	norm	ϩⲙϩⲁⲗ
1086	abraham	norm	ⲛ
1087	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1088	abraham	norm	·
1089	abraham	norm	ⲁⲩⲱ
1090	abraham	norm	ⲛ
1091	abraham	norm	ⲧ
1092	abraham	norm	ϩⲉ
1093	abraham	norm	ⲛ
1094	abraham	norm	ⲛ
1095	abraham	norm	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
1096	abraham	norm	ⲧⲏⲣ
1097	abraham	norm	ⲟⲩ
1098	abraham	norm	ⲙⲛ
1099	abraham	norm	ⲛⲉ
1100	abraham	norm	ⲡⲣⲟⲫⲏⲧⲏⲥ
1101	abraham	norm	ⲧⲏⲣ
1102	abraham	norm	ⲟⲩ
