0	NULL	annotation	Caroline Schroeder, Amir Zeldes
73	NULL	version_date	16 April 2015
73	NULL	version_n	1.0.1
75	NULL	book	Acts of the Apostles
75	NULL	chapter	1
75	NULL	cid	44N 1
75	NULL	cname	Acts of the Apostles 1
75	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:1
75	NULL	metadata	Caroline T. Schroeder
75	NULL	version_date	16 April 2015
75	NULL	version_n	1.0.1
76	NULL	book	Acts of the Apostles
76	NULL	chapter	10
76	NULL	cid	44N 10
76	NULL	cname	Acts of the Apostles 10
76	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:10
76	NULL	metadata	Caroline T. Schroeder
76	NULL	version_date	16 April 2015
76	NULL	version_n	1.0.1
77	NULL	book	Acts of the Apostles
77	NULL	chapter	11
77	NULL	cid	44N 11
77	NULL	cname	Acts of the Apostles 11
77	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:11
77	NULL	metadata	Caroline T. Schroeder
77	NULL	version_date	16 April 2015
77	NULL	version_n	1.0.1
78	NULL	book	Acts of the Apostles
78	NULL	chapter	12
78	NULL	cid	44N 12
78	NULL	cname	Acts of the Apostles 12
78	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:12
78	NULL	metadata	Caroline T. Schroeder
78	NULL	version_date	16 April 2015
78	NULL	version_n	1.0.1
79	NULL	book	Acts of the Apostles
79	NULL	chapter	13
79	NULL	cid	44N 13
79	NULL	cname	Acts of the Apostles 13
79	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:13
79	NULL	metadata	Caroline T. Schroeder
79	NULL	version_date	16 April 2015
79	NULL	version_n	1.0.1
80	NULL	book	Acts of the Apostles
80	NULL	chapter	14
80	NULL	cid	44N 14
80	NULL	cname	Acts of the Apostles 14
80	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:14
80	NULL	metadata	Caroline T. Schroeder
80	NULL	version_date	16 April 2015
